2458687,"""2019/07/22""","""Mon""",0.89154,0.80126
2458688,"""2019/07/23""","""Tue""",0.89639,0.80365
2458689,"""2019/07/24""","""Wed""",0.89746,0.8006
2458690,"""2019/07/25""","""Thu""",0.89691,0.80193
2458691,"""2019/07/26""","""Fri""",0.89869,0.80663
2458694,"""2019/07/29""","""Mon""",0.89804,0.81713
2458695,"""2019/07/30""","""Tue""",0.89682,0.82208
2458696,"""2019/07/31""","""Wed""",0.89889,0.81955
2458697,"""2019/08/01""","""Thu""",0.90397,0.82431
2458698,"""2019/08/02""","""Fri""",0.90052,0.82373
2458702,"""2019/08/06""","""Tue""",0.89354,0.8222
2458703,"""2019/08/07""","""Wed""",0.89134,0.82311
2458704,"""2019/08/08""","""Thu""",0.89285,0.82403
2458705,"""2019/08/09""","""Fri""",0.89247,0.82864
2458708,"""2019/08/12""","""Mon""",0.89184,0.82775
2458709,"""2019/08/13""","""Tue""",0.89384,0.8287
2458710,"""2019/08/14""","""Wed""",0.89685,0.82904
2458711,"""2019/08/15""","""Thu""",0.89985,0.82533
2458712,"""2019/08/16""","""Fri""",0.90191,0.82287
2458715,"""2019/08/19""","""Mon""",0.90138,0.82427
2458716,"""2019/08/20""","""Tue""",0.9016,0.82347
2458717,"""2019/08/21""","""Wed""",0.90118,0.82411
2458718,"""2019/08/22""","""Thu""",0.9022,0.81682
2458719,"""2019/08/23""","""Fri""",0.89969,0.81566
2458722,"""2019/08/26""","""Mon""",0.90009,0.81782
2458723,"""2019/08/27""","""Tue""",0.90123,0.81393
2458724,"""2019/08/28""","""Wed""",0.90244,0.81827
2458725,"""2019/08/29""","""Thu""",0.90412,0.81998
2458726,"""2019/08/30""","""Fri""",0.90881,0.82144
2458730,"""2019/09/03""","""Tue""",0.91228,0.8284
2458731,"""2019/09/04""","""Wed""",0.90706,0.81967
2458732,"""2019/09/05""","""Thu""",0.90516,0.81119
2458733,"""2019/09/06""","""Fri""",0.90587,0.81276
2458736,"""2019/09/09""","""Mon""",0.90468,0.80939
2458737,"""2019/09/10""","""Tue""",0.90573,0.80946
2458738,"""2019/09/11""","""Wed""",0.90885,0.81104
2458739,"""2019/09/12""","""Thu""",0.90575,0.81052
2458740,"""2019/09/13""","""Fri""",0.90282,0.80243
2458743,"""2019/09/16""","""Mon""",0.90833,0.80457
2458744,"""2019/09/17""","""Tue""",0.90461,0.80142
2458745,"""2019/09/18""","""Wed""",0.9047,0.80139
2458746,"""2019/09/19""","""Thu""",0.90462,0.79989
2458747,"""2019/09/20""","""Fri""",0.90788,0.801
2458750,"""2019/09/23""","""Mon""",0.9099,0.80468
2458751,"""2019/09/24""","""Tue""",0.90846,0.80112
2458752,"""2019/09/25""","""Wed""",0.91253,0.8086
2458753,"""2019/09/26""","""Thu""",0.91429,0.81012
2458754,"""2019/09/27""","""Fri""",0.91398,0.81247
2458757,"""2019/09/30""","""Mon""",0.91723,0.81295
2458758,"""2019/10/01""","""Tue""",0.91565,0.81542
2458759,"""2019/10/02""","""Wed""",0.9133,0.81319
2458760,"""2019/10/03""","""Thu""",0.91102,0.80817
2458761,"""2019/10/04""","""Fri""",0.91094,0.81196
2458764,"""2019/10/07""","""Mon""",0.91037,0.81208
2458765,"""2019/10/08""","""Tue""",0.91235,0.81887
2458766,"""2019/10/09""","""Wed""",0.91098,0.81863
2458767,"""2019/10/10""","""Thu""",0.90781,0.81017
2458768,"""2019/10/11""","""Fri""",0.9054,0.78983
2458772,"""2019/10/15""","""Tue""",0.90735,0.7859
2458773,"""2019/10/16""","""Wed""",0.90399,0.7797
2458774,"""2019/10/17""","""Thu""",0.8991,0.77848
2458775,"""2019/10/18""","""Fri""",0.89675,0.77448
2458778,"""2019/10/21""","""Mon""",0.89662,0.77031
2458779,"""2019/10/22""","""Tue""",0.89802,0.77356
2458780,"""2019/10/23""","""Wed""",0.89907,0.77593
2458781,"""2019/10/24""","""Thu""",0.89993,0.77777
2458782,"""2019/10/25""","""Fri""",0.90202,0.7798
2458785,"""2019/10/28""","""Mon""",0.90122,0.77779
2458786,"""2019/10/29""","""Tue""",0.90048,0.77703
2458787,"""2019/10/30""","""Wed""",0.89947,0.77652
2458788,"""2019/10/31""","""Thu""",0.89701,0.77257
2458789,"""2019/11/01""","""Fri""",0.89607,0.77249
2458792,"""2019/11/04""","""Mon""",0.89735,0.77514
2458793,"""2019/11/05""","""Tue""",0.90275,0.77631
2458794,"""2019/11/06""","""Wed""",0.90292,0.7772
2458795,"""2019/11/07""","""Thu""",0.90476,0.78006
2458796,"""2019/11/08""","""Fri""",0.90718,0.78173
2458800,"""2019/11/12""","""Tue""",0.90796,0.77816
2458801,"""2019/11/13""","""Wed""",0.90871,0.77889
2458802,"""2019/11/14""","""Thu""",0.90814,0.77728
2458803,"""2019/11/15""","""Fri""",0.90512,0.77515
2458806,"""2019/11/18""","""Mon""",0.90303,0.77153
2458807,"""2019/11/19""","""Tue""",0.90263,0.77337
2458808,"""2019/11/20""","""Wed""",0.90362,0.77425
2458809,"""2019/11/21""","""Thu""",0.90356,0.774
2458810,"""2019/11/22""","""Fri""",0.90628,0.77884
2458813,"""2019/11/25""","""Mon""",0.9082,0.77569
2458814,"""2019/11/26""","""Tue""",0.90759,0.77776
2458815,"""2019/11/27""","""Wed""",0.90895,0.77581
2458816,"""2019/11/28""","""Thu""",0.9085,0.77459
2458817,"""2019/11/29""","""Fri""",0.90815,0.77388
